,mwd_nom,mwd_nom_GDP,mwd_tips,mwd_tips_GDP,mwd_agg,mwd_agg_GDP,debt_nom,debt_nom_GDP,debt_tips,debt_tips_GDP,debt_agg,debt_agg_GDP,mat_nom,mat_tips,mat_agg
2015-08-31,91643084.52979167,4.977142883963594,22840556.76101316,1.2404723731433054,114483641.29080483,6.217615257106899,16447793.879375001,0.8932809353118065,2140292.06697839,0.11623942477953433,18588085.94635339,1.009520360091341,5.571755409989002,10.671700892326756,6.158979553958014
2015-09-30,91035125.60234374,4.941126996521198,22662199.08876496,1.2300395366857355,113697324.6911087,6.171166533206933,16497778.990625,0.8954523939396719,2140292.06697839,0.11616894954132746,18638071.05760339,1.0116213434809993,5.518023102023321,10.588367558993424,6.100273163446598
2015-10-31,90404054.89479166,4.903899270984078,22483841.41651676,1.2196188949676232,112887896.31130841,6.123518165951701,16544971.913749998,0.8974694309974474,2138098.5048742862,0.11597952892209507,18683070.418624286,1.0134489599195424,5.4641407290428665,10.515811766978782,6.042256105761702
2015-11-30,92668735.43375,5.018519631311542,22305666.54111057,1.2079740259980207,114974401.97486058,6.226493657309563,16820457.6475,0.9109199183145383,2138098.5048742862,0.1157897458097994,18958556.152374286,1.0267096641243376,5.509287403218973,10.43247843364545,6.064512563656473
2015-12-31,92419405.64385417,4.996827097345852,22127491.665704384,1.1963640014908365,114546897.30955856,6.193191098836689,16943745.211875,0.9160951059508484,2138098.5048742862,0.11560027324911654,19081843.716749284,1.031695379199965,5.454485090998781,10.349145100312118,6.002926080408773
2016-01-31,91820958.23401041,4.9563473123869395,22707272.651198454,1.2257019741569009,114528230.88520887,6.18204928654384,16916440.673125,0.9131221986566084,2186799.507422109,0.11803991234460966,19103240.180547107,1.0311621110012181,5.427912408304991,10.38379264954506,5.9952254069355915
2016-02-29,93667642.67552084,5.03924066954638,24312863.875675157,1.3080116989798687,117980506.551196,6.347252368526249,16995332.14125,0.91433462476811,2250377.4024256915,0.12106841812402458,19245709.54367569,1.0354030428921346,5.51137464669941,10.803905091416318,6.130223792656448
2016-03-31,93287808.60895833,5.002141813810747,24125332.425473016,1.2936131301293552,117413141.03443135,6.295754943940102,17111252.213749997,0.9175144261759534,2250377.4024256915,0.12066643079498166,19361629.61617569,1.038180856970935,5.451839961425824,10.720571758082984,6.064217907377923
2016-04-30,92813922.71697916,4.960207399464745,24212706.088489197,1.2939873715650894,117026628.80546835,6.254194771029835,17132567.429375,0.9156071120294146,2259463.026425124,0.12075133659274431,19392030.455800124,1.0363584486221589,5.417397193945557,10.716132906497718,6.034779548856674
2016-05-31,94878565.46015623,5.054308029728888,24024417.502953768,1.2798128397686517,118902982.96311,6.334120869497539,17272596.033125002,0.9201342832396496,2259463.026425124,0.12036461620124114,19532059.059550125,1.0404988994408908,5.493011315623907,10.632799573164384,6.0875805566936805
2016-06-30,94571664.90270834,5.0218243689868345,23836128.91741834,1.2657158270708968,118407793.82012668,6.287540196057732,17385217.9625,0.9231677512925954,2259463.026425124,0.11997913432738444,19644680.98892512,1.04314688561998,5.439774474309145,10.54946623983105,6.0274734869393
2016-07-31,93971736.40104166,4.9739867681291985,24285840.436959222,1.2854657539880596,118257576.83800088,6.259452522117258,17443052.98375,0.9232724440323028,2290333.3867467353,0.12122887579372767,19733386.370496735,1.0445013198260304,5.387344548490795,10.603626780927133,5.9927665033107065
2016-08-31,95712463.69708334,5.048660234130533,24094979.32139699,1.270966802475501,119807443.01848033,6.319627036606033,17541007.768124998,0.9252565963173102,2289018.967262665,0.12074163164124797,19830026.73538766,1.0459982279585582,5.456497423768845,10.526334497879281,6.041718683347917
2016-09-30,95075615.1809896,4.997779236729,23904227.74079177,1.2565582967361981,118979842.92178136,6.254337533465199,17455849.736875,0.9175905221159067,2289018.967262665,0.12032540042245912,19744868.704137668,1.0379159225383658,5.446633456069742,10.443001164545947,6.0258614379567055
2016-10-31,94468876.0234375,4.948766328304215,23713476.160186548,1.2422340276331971,118182352.18362404,6.191000355937412,17540628.781875,0.918868486076735,2286786.194633449,0.11979363994153247,19827414.97650845,1.0386621260182674,5.38571776406634,10.369782805159712,5.960552715704325
2016-11-30,96517922.36953124,5.039380183577589,23522910.643967092,1.2281749010865062,120040833.01349834,6.267555084664095,17677593.80125,0.9229800404766622,2286786.194633449,0.11939735906450154,19964379.99588345,1.0423773995411636,5.4599015824600725,10.286449471826376,6.012750360304208
2016-12-31,95973347.88088542,4.994370577447415,23332345.127747644,1.214195196707108,119305693.00863306,6.208565774154524,17626062.586875,0.9172451552840737,2286786.194633449,0.11900238909624321,19912848.78150845,1.036247544380317,5.44496806407295,10.203116138493046,5.99139250830967
2017-01-31,95342507.25604168,4.945129246119551,23812281.77699542,1.2350714746364906,119154789.0330371,6.180200720756042,17565093.600625,0.9110486033476302,2325900.0827848623,0.1206374454999709,19890993.683409862,1.031686048847601,5.427953270493771,10.237878210350438,5.990388963444218
2017-02-28,97299022.38442709,5.032848773413156,25207794.950282324,1.3038879198059041,122506817.3347094,6.33673669321906,17688748.301875003,0.9149608394066892,2381629.4134579552,0.12319117272204998,20070377.71533296,1.038152012128739,5.500616591062773,10.58426420493456,6.103862073363928
2017-03-31,97108134.31239584,5.009280377711422,25009325.83249416,1.290095068138,122117460.14489,6.299375445849422,17721071.873125,0.9141336947169358,2381629.4134579552,0.12285530529745131,20102701.286582958,1.036989000014387,5.479811549078234,10.500930871601224,6.074679139086358
2017-04-30,96470498.01953125,4.962820605303119,25112744.374281954,1.2918980185130182,121583242.39381321,6.254718623816138,17619088.8575,0.9063950018270309,2389695.6670153327,0.12293531328371701,20008784.524515335,1.029330315110748,5.475339774932016,10.50876256793281,6.076493164532105
2017-05-31,98989083.94848958,5.0704016089542545,24913603.068697345,1.276120235137282,123902687.01718692,6.346521844091536,17717555.177500002,0.9075255239807939,2389695.6670153327,0.12240457504638254,20107250.844515335,1.0299300990271765,5.587062264335345,10.425429234599475,6.162089883659253
2017-06-30,98447895.12015626,5.020910588933615,24714461.763112735,1.2604546050959866,123162356.883269,6.281365194029602,17749674.918750003,0.9052456697109711,2389695.6670153327,0.12187612812038168,20139370.585765336,1.0271217978313527,5.546461868783866,10.342095901266143,6.115501790821662
2017-07-31,97942743.47546874,4.973582378323869,25149017.834869683,1.2770799295303477,123091761.31033842,6.250662307854216,17840250.641875,0.9059370104282851,2430191.1791235954,0.12340634533557385,20270441.820998594,1.029343355763859,5.489986964957518,10.348575886091078,6.07247549892203
2017-08-31,99973240.84447917,5.047429592020781,24946501.903276056,1.2594941492381535,124919742.74775523,6.3069237412589345,17882980.028750002,0.9028724269431745,2428746.9602596913,0.12262210542734708,20311726.989009693,1.0254945323705216,5.590412821786682,10.27134662913121,6.150129076436831
2017-09-30,99428446.44572917,4.990988856821631,24744106.323254414,1.2420747114738526,124172552.76898357,6.233063568295484,18035825.66375,0.9053405552352409,2428746.9602596913,0.12191530138522254,20464572.62400969,1.0272558566204635,5.512830313367314,10.188013295797877,6.067683652640777
2017-10-31,98819670.82,4.931837940722728,24541710.74323277,1.2248142416319574,123361381.56323276,6.156652182354685,18255854.584375,0.9111031794827181,2426468.170476819,0.12109884282969767,20682322.75485182,1.0322020223124158,5.413039984695033,10.114169656884535,5.964580624015921
2017-11-30,100558721.88598959,4.994528767873361,24339505.0623597,1.2088892534610851,124898226.9483493,6.203418021334446,18433962.48375,0.9155740467283645,2426468.170476819,0.120517294317998,20860430.65422682,1.0360913410463626,5.455079013784183,10.0308363235512,5.98732734805942
2017-12-31,99755897.33005208,4.930860698530047,24137299.381486636,1.1930889709211334,123893196.71153872,6.12394966945118,18403870.262500003,0.9096897828302033,2426468.170476819,0.11993853855529252,20830338.432976823,1.0296283213854958,5.42037603543186,9.947502990217869,5.94772845914983
2018-01-31,99173476.81640625,4.8785310403748925,24595563.01854264,1.209902299418095,123769039.8349489,6.088433339792988,18417376.37375,0.9059856042754239,2467464.8873835076,0.12137926823338113,20884841.261133507,1.027364872508805,5.384777658003268,9.967948538722146,5.9262619374216605
2018-02-28,101395626.30411458,4.967372240457878,25958000.78208417,1.2716825883196536,127353627.08619875,6.239054828777531,18549009.53875,0.9087160702022918,2522828.364831518,0.12359337422816713,21071837.90358152,1.032309444430459,5.4663633706313535,10.289245651405114,6.043783540331469
2018-03-31,100975066.68598959,4.926467053613806,25747765.08501488,1.2562063146734586,126722831.77100447,6.182673368287265,18785372.714375,0.9165185308074177,2522828.364831518,0.12308613630249132,21308201.07920652,1.039604667109909,5.375196341391786,10.205912318071782,5.947138911443171
2018-04-30,100356162.94385417,4.876176670103546,25882579.41144839,1.2576011894637311,126238742.35530256,6.133777859567277,18595460.485625,0.9035294687439016,2532856.2524268003,0.12306822226472758,21128316.7380518,1.0265976910086292,5.396809776312521,10.218732068450219,5.974860369635995
2018-05-31,102902213.55609374,4.982370669162241,25671508.05707949,1.242975873468765,128573721.61317323,6.225346542631006,18676159.03875,0.9042715777591441,2532856.2524268003,0.1226370965714582,21209015.2911768,1.0269086743306024,5.5098167317267075,10.135398735116887,6.062220232669709
2018-06-30,102247675.47734375,4.933335977500905,25460436.702710588,1.2284375933436105,127708112.18005434,6.161773570844515,18536951.556875,0.8943871789925074,2532856.2524268003,0.12220748117353543,21069807.8093018,1.016594660166043,5.515884052651691,10.052065401783553,6.061190179612097
2018-07-31,101571516.27458334,4.88354415267582,25876782.444300875,1.2441520441056175,127448298.71888421,6.127696196781438,18421278.990000002,0.885692491320382,2572094.9731732924,0.1236659629301062,20993373.963173293,1.009358454250488,5.513814558137981,10.06058590922702,6.070882124162358
2018-08-31,104017347.88958333,4.9916267020966245,25662441.196536437,1.231499642286533,129679789.08611977,6.223126344383157,18263414.365625,0.8764321401049522,2570495.0372411525,0.12335395898691945,20833909.402866155,0.9997860990918717,5.695394399273035,9.9834626500891,6.22445776155096
2018-09-30,103350914.89244792,4.950211881332424,25448233.27676634,1.2188972575294845,128799148.16921426,6.169109138861909,17972272.229375,0.8608202028687982,2570495.0372411525,0.1231193268825818,20542767.266616154,0.98393952975138,5.750575863386086,9.900129316755768,6.269805158067699
2018-10-31,102845456.71291667,4.916632117075644,25234025.356996242,1.20633835930768,128079482.06991291,6.122970476383324,18023045.70125,0.8616101106891068,2568018.0721747805,0.12276672722772271,20591063.77342478,0.9843768379168295,5.706330573515871,9.826264709899908,6.2201488703665095
2018-11-30,105827157.9909375,5.043652446326114,25020023.85098168,1.1924378099045987,130847181.84191918,6.236090256230712,18332637.771875,0.8737214066888763,2568018.0721747805,0.12239004503024793,20900655.84404978,0.9961114517191243,5.772609447031792,9.742931376566576,6.26043425709869
2018-12-31,105247531.85734375,5.00063729002303,24806022.344967116,1.178611205092423,130053554.20231086,6.179248495115453,18335143.869999997,0.8711596608130966,2568018.0721747805,0.1220145185977035,20903161.942174777,0.9931741794108001,5.740207581875046,9.659598043233244,6.221716817871048
2019-01-31,104826139.70151041,4.965333736027134,25205032.54624739,1.1938949462024382,130031172.2477578,6.159228682229572,18445949.31,0.8737352597624056,2606511.290689421,0.1234634651418851,21052460.60068942,0.9971987249042907,5.682881262428799,9.670026228653194,6.176530844261483
2019-02-28,107660752.4761979,5.076752641740991,26255048.52779406,1.2380592175592011,133915801.00399196,6.3148118593001925,18697948.189375,0.8817034590811735,2650851.4042839333,0.12500114071315416,21348799.59365893,1.0067045997943276,5.757891260891155,9.904383355990586,6.272755543771554
2019-03-31,106732912.91874999,5.010449578582807,26034144.244103733,1.2221419193902503,132767057.16285372,6.232591497973058,18549721.505,0.8707946008023574,2650851.4042839333,0.12444106450641812,21200572.909283932,0.9952356653087755,5.753882228904654,9.821050022657253,6.262427799991847
2019-04-30,106056354.51875001,4.956381989645449,26052578.47283103,1.217527524046056,132108932.99158104,6.1739095136915045,18479310.760624997,0.8636024069527161,2638604.819131379,0.12331117227890732,21117915.579756375,0.9869135792316234,5.739194274752433,9.87361892312751,6.255775220458813
2019-05-31,108842130.14546874,5.06152437386223,25832694.737903412,1.201307011206856,134674824.88337216,6.262831385069086,18597749.69625,0.8648577831097984,2638604.819131379,0.12270398040881984,21236354.515381377,0.9875617635186182,5.852435478654463,9.790285589794177,6.3417110872691405
2019-06-30,108314917.60619792,5.0122046848666635,25612811.0029758,1.1852167193484884,133927728.60917372,6.197421404215152,18599391.653125,0.8606751501985968,2638604.819131379,0.12209977838920764,21237996.472256377,0.9827749285878044,5.823573137565457,9.706952256460845,6.306043453021862
2019-07-31,107815826.13541667,4.96454285576223,26042542.440188784,1.1991682728928543,133858368.57560545,6.163711128655084,18798030.516875003,0.865583759361429,2678089.5390187423,0.123316685171321,21476120.055893745,0.98890044453275,5.735485216849199,9.724298631826487,6.232893475507945
2019-08-31,110989569.92328125,5.093846919839478,25819368.31193722,1.18497539758801,136808938.23521847,6.278822317427488,19109441.411875,0.8770244748494533,2676367.5227294182,0.12283141984816351,21785808.934604418,0.9998558946976168,5.808101217145471,9.647168444790447,6.2797272594230895
2019-09-30,110493831.01395833,5.0543897090125025,25596337.685043104,1.1708695824597428,136090168.69900143,6.225259291472245,19258070.3725,0.8809341825961867,2676367.5227294182,0.12242678473796409,21934437.895229418,1.0033609673341508,5.737533869008004,9.563835111457113,6.204406483951889
2019-10-31,110057740.238125,5.01785671651016,25632184.650059745,1.1686468359867,135689924.88818473,6.18650355249686,19565810.381875,0.8920629555561762,2725688.191441388,0.12427215722351095,22291498.573316388,1.0163351127796871,5.6250029050715,9.403931355957862,6.087070568266315
2019-11-30,112917302.87401041,5.164417057930469,25405043.96743963,1.161932131599974,138322346.84145004,6.3263491895304425,19817811.324375004,0.9063929110018325,2725688.191441388,0.12466283051576048,22543499.51581639,1.031055741517593,5.6977685893662375,9.320598022624528,6.1357974499213785
2019-12-31,112455774.71885417,5.159477452135802,25177903.284819514,1.1551636598018347,137633678.00367367,6.314641111937636,20110111.920625,0.922653098729631,2725688.191441388,0.12505473196421676,22835800.112066388,1.0477078306938477,5.592001435035234,9.237264689291196,6.027101188845506
2020-01-31,112763255.46151043,5.18984883927017,25616704.176349856,1.178990637432736,138379959.6378603,6.368839476702906,20905842.84375,0.9621765864469415,2761395.8677356704,0.12709128590053081,23667238.71148567,1.0892678723474722,5.393863156070844,9.276722861671917,5.8468992232163
2020-02-29,115656547.05526042,5.47797005042244,26547004.171077907,1.2573753711333027,142203551.22633833,6.735345421555742,21460821.40625,1.016472823321723,2799270.6039323346,0.13258497613665193,24260092.010182336,1.149057799458375,5.389194796690212,9.483543367970729,5.861624562951093
2020-03-31,115158995.47963542,5.613188505772669,26313731.62075021,1.282608755507091,141472727.10038564,6.8957972612797604,22135139.746875003,1.078931884420636,2799270.6039323346,0.13644469121232425,24934410.35080734,1.2153765756329602,5.202542057404148,9.400210034637395,5.673794772363846
2020-04-30,115204530.67218749,5.778879601186077,26339258.349753477,1.3212275758570236,141543789.02194098,7.100107177043101,24337588.612499997,1.220819993399694,2789115.394344048,0.13990736270253348,27126704.006844044,1.3607273561022275,4.733604980610834,9.443588602739764,5.217876413818265
2020-05-31,119979549.43010417,5.852029052516794,26106832.066891473,1.2733665066281064,146086381.49699563,7.1253955591449,25200724.923125,1.2291709303386364,2789115.394344048,0.13603972006939244,27989840.317469046,1.3652106504080288,4.760956273920797,9.360255269406432,5.219264555997487
2020-06-30,119502541.3663021,5.667630745491974,25874405.784029465,1.2271419173705778,145376947.15033156,6.894772662862552,25244901.965,1.1972865255241407,2789115.394344048,0.13227899575169053,28034017.359344047,1.3295655212758313,4.733729666765299,9.276921936073096,5.18573364947553
2020-07-31,118942209.15651041,5.485112841695943,26340494.208175182,1.2147124562632274,145282703.3646856,6.699825297959171,24967095.5825,1.151377106332524,2809768.778591534,0.12957468100637815,27776864.36109153,1.280951787338902,4.76395857753994,9.374612747095512,5.230349310708752
2020-08-31,124831592.80526042,5.723102613934952,26106346.80995922,1.1968869283070935,150937939.61521965,6.919989542242045,25208443.518124998,1.1557211259562907,2808000.854995393,0.12873725850975845,28016444.37312039,1.284458384466049,4.951975425039863,9.297129223987382,5.387476640684388
2020-09-30,124425060.7728125,5.671165706925565,25872346.738709606,1.1792348315598964,150297407.5115221,6.850400538485462,25258132.085625,1.1512395623140588,2808000.854995393,0.12798577758337856,28066132.940620393,1.2792253398974374,4.926138653128104,9.213795890654048,5.3551163542732025
2020-10-31,124044528.93598959,5.620818278428958,25883239.180858202,1.1728448254883586,149927768.11684778,6.793663103917316,25200893.345625,1.1419257517026231,2854475.095467897,0.12934456625818297,28055368.441092893,1.271270317960806,4.922227447842611,9.067600282081107,5.343995693075538
2020-11-30,130292085.27354169,5.852388877698896,25645366.25623588,1.1519245848848765,155937451.52977756,7.004313462583773,25549487.76125,1.1476179669004622,2854475.095467897,0.1282157566617532,28403962.8567179,1.2758337235622155,5.099596770435103,8.984266948747775,5.489989277777709
2020-12-31,130332110.47729167,5.803096334990361,25407493.33161356,1.1312801649112263,155739603.80890524,6.934376499901587,25892933.197499998,1.152894595125449,2854475.095467897,0.12709679835743296,28747408.292967893,1.279991393482882,5.033501206030819,8.900933615414443,5.4175180670809135
2021-01-31,129946343.20020834,5.7354252740097955,25842212.241886288,1.1405944452017662,155788555.44209462,6.876019719211562,25855343.265625,1.1411740075316474,2867367.30222773,0.12655662706666945,28722710.567852728,1.2677306345983168,5.025898974351411,9.01252247028444,5.423880697960922
2021-02-28,136773573.36015627,5.97480937576456,26864510.1404452,1.1735478069275378,163638083.50060147,7.148357182692099,26117587.17125,1.1409192643685888,2908136.1323198145,0.12703886140073473,29025723.303569816,1.2679581257693235,5.236838015064246,9.23770721799582,5.637691842823981
2021-03-31,136229208.37192708,5.889960610553184,26622165.462751888,1.1510270654670463,162851373.83467898,7.04098767602023,25613498.52375,1.1074166781581185,2908136.1323198145,0.12573520373638128,28521634.656069815,1.2331518818944998,5.318649002423826,9.154373884662489,5.709748960690156
2021-04-30,135950351.44890624,5.817585694437834,26654687.954331044,1.1406070648599875,162605039.40323728,6.958192759297821,25472293.813124996,1.0900100699441444,2905730.1641514036,0.12434196789271855,28378023.9772764,1.2143520378368629,5.337185274569019,9.173146317292453,5.729963422874076
2021-05-31,143324038.78052083,6.085480848691216,26412543.773985095,1.1214659499509578,169736582.5545059,7.206946798642174,25678114.430625,1.0902823764083587,2905730.1641514036,0.12337613017231702,28583844.594776403,1.2136585065806758,5.58156398779754,9.08981298395912,5.938199880415131
2021-06-30,142887636.87869793,6.019825794676994,26170399.593639143,1.1025533767105073,169058036.47233707,7.122379171387502,25421701.761250004,1.0710108960432607,2905730.1641514036,0.12241779468561838,28327431.92540141,1.1934286907288791,5.620695192660149,9.006479650625787,5.967997272662812
2021-07-31,142416229.49567705,5.953360215530435,26620796.608794004,1.1128169310319538,169037026.10447106,7.066177146562389,25057082.684375,1.0474497162203185,2920131.318086248,0.12206890798037043,27977214.002461247,1.169518624200689,5.6836716105217,9.116301189578126,6.041953501503056
2021-08-31,149129224.1515625,6.16142851801525,26377452.332286816,1.0898117921378392,175506676.48384932,7.251240310153089,25293872.225625,1.0450425565388208,2918257.257896192,0.12057082435722032,28212129.483521193,1.1656133808960412,5.89586374206797,9.038768690085483,6.220965226547801
2021-09-30,148730389.96026042,6.073434486267252,26134264.22746214,1.0671977776344104,174864654.18772256,7.140632263901662,25225253.620625,1.0300781521871665,2918257.257896192,0.1191676043789175,28143510.878521193,1.149245756566084,5.896090964915158,8.955435356752151,6.2133205392358235
2021-10-31,148294005.9215625,5.985138575545724,26136026.476342242,1.0548487061424454,174430032.39790472,7.03998728168817,25462478.311874997,1.0276643363050482,2964562.807833434,0.11964960492184053,28427041.11970843,1.1473139412268887,5.82402090264726,8.81614867706008,6.136060086709925
2021-11-30,154650309.83848956,6.2052896760925105,25888979.575689454,1.0387862646597377,180539289.41417903,7.244075940752248,25863202.358125,1.0377519628067498,2964562.807833434,0.11895204739511114,28827765.165958434,1.1567040102018609,5.979549929550998,8.732815343726745,6.2626876684624415
2021-12-31,154321635.75572917,6.156001773056227,25641932.675036676,1.022875258152219,179963568.43076584,7.178877031208446,26055322.474375002,1.0393656765256882,2964562.807833434,0.11825855663068711,29019885.282208435,1.1576242331563753,5.922844973709386,8.649482010393415,6.201388002767131
2022-01-31,153397119.40484375,6.083447647513349,26095074.216222458,1.034882652740036,179492193.6210662,7.118330300253385,26169378.760625,1.0378294343197618,2968997.0840718513,0.11774496416000214,29138375.844696853,1.155574398479764,5.861702748391119,8.789188226629777,6.1599930818976505
2022-02-28,159306371.40062502,6.269253064429881,27056660.069701456,1.064772535861977,186363031.47032648,7.334025600291858,26512973.09375,1.0433765853415642,3007850.120134228,0.11836923669283518,29520823.213884227,1.1617458220343995,6.008619660922859,8.995348501106175,6.312934775568056
2022-03-31,158682707.4865625,6.196726689712685,26806005.89302361,1.046802734796804,185488713.3795861,7.2435294245094894,26452988.404374998,1.033017030428044,3007850.120134228,0.11745971198323323,29460838.524509225,1.1504767424112772,5.998668470301009,8.912015167772845,6.296111131571265
2022-04-30,157928522.39828125,6.1198869043882995,26794102.92077667,1.0382980673127478,184722625.3190579,7.158184971701047,26417194.67875,1.0236924990499239,2992572.738486122,0.1159651621795327,29409767.417236123,1.1396576612294567,5.978247286238875,8.953534387381751,6.280995789541603
2022-05-31,163532251.06796873,6.299327563392117,26544721.859236155,1.0225132778302222,190076972.92720488,7.321840841222339,26808344.823750004,1.0326681396135104,2992572.738486122,0.11527509597581675,29800917.562236127,1.1479432355893273,6.1000502695374355,8.870201054048417,6.378225520413888
2022-06-30,162723866.28203124,6.230888566498958,26295340.797695644,1.0068795811708646,189019207.07972687,7.237768147669823,26867400.28125,1.0287844128152792,2992572.738486122,0.11458913610331713,29859973.019736122,1.1433735489185963,6.0565542098835525,8.786867720715083,6.330186800731318
2022-07-31,161877233.1611979,6.161585162292977,26697118.04236976,1.0161809860071145,188574351.20356765,7.177766148300091,27051645.9625,1.029675496196313,2988749.1885984773,0.11376172111828352,30040395.151098475,1.1434372173145966,5.98400679151273,8.932538783854564,6.277359210991341
2022-08-31,166697644.4622396,6.30828206158805,26448055.609986562,1.000864741110091,193145700.07222617,7.309146802698141,27561508.35125,1.0430007531503167,2986706.753077593,0.1130249242239961,30548215.104327593,1.1560256773743127,6.048204704104278,8.855256908879214,6.322650911439481
2022-09-30,165787433.05692708,6.23746620787371,26199163.380563427,0.9856983321812685,191986596.43749052,7.223164540054978,27650420.441250004,1.0402993758675072,2986706.753077593,0.11236968991945738,30637127.194327597,1.1526690657869645,5.995837691118749,8.77192357554588,6.266468628724317
2022-10-31,164784879.2778646,6.163805337913749,26188668.607965846,0.9795914289346922,190973547.88583046,7.143396766848442,27715783.609375,1.0367134151177917,3032904.7868095418,0.11344629917650458,30748688.39618454,1.1501597142942963,5.945524817206515,8.634846936792554,6.210786796015906
2022-11-30,169594386.40427086,6.310048395413235,25935926.542398386,0.9649903816527214,195530312.94666925,7.275038777065956,28290462.155625,1.0525948948868327,3032904.7868095418,0.11284439531995456,31323366.942434542,1.1654392902067872,5.99475489199636,8.551513603459222,6.242314668982136
2022-12-31,168885442.17921877,6.250332096302895,25683184.476830926,0.9505166946269661,194568626.6560497,7.200848790929861,28594388.669999998,1.0582583257152567,3032904.7868095418,0.1122456849413334,31627293.45680954,1.17050401065659,5.906244198058555,8.468180270125888,6.1519215016534385
2023-01-31,167930293.79984376,6.1820083367269545,26089180.097502477,0.9604195003277086,194019473.89734623,7.142427837054663,28882263.518124998,1.0632411211368917,3029498.3623147807,0.11152475058641298,31911761.880439777,1.1747658717233047,5.81430515978983,8.61171619104895,6.079873453062769
2023-02-28,172719504.60208333,6.335888246186536,27160894.396546524,0.9963460233368291,199880398.99862984,7.332234269523365,29212765.809374996,1.0716150440370498,3077138.70859035,0.1128790116701623,32289904.517965347,1.1844940557072121,5.912466684227961,8.826672103120448,6.190182410958232
2023-03-31,171706179.42421874,6.276501485861194,26904466.170830663,0.9834586178772243,198610645.5950494,7.259960103738418,29349584.753124997,1.0728368246857358,3077138.70859035,0.1124809004628297,32426723.461715348,1.1853177251485656,5.850378493206325,8.743338769787115,6.124906385609367
2023-04-30,170719415.59687498,6.218422306585631,26880251.01035884,0.9791080405531571,197599666.60723382,7.197530347138788,29565962.371250004,1.0769345670629034,3053397.692663242,0.11121943134909468,32619360.063913245,1.188153998411998,5.774187677478845,8.803390097184911,6.057741973480285
2023-05-31,175193976.7457292,6.34208123169092,26625801.202636905,0.9638630118606146,201819777.9483661,7.305944243551535,30162461.127500005,1.0918912977011805,3053397.692663242,0.11053402953249633,33215858.820163246,1.202425327233677,5.8083448829047875,8.720056763851577,6.076006616028067
2023-06-30,174093027.23208335,6.263388332091359,26371351.394914966,0.9487686971414321,200464378.6269983,7.212157029232791,30522917.2325,1.098130618411115,3053397.692663242,0.10985285157898145,33576314.92516325,1.2079834699900964,5.703682446405013,8.636723430518243,5.970410364383478
2023-07-31,172888174.21270835,6.18170935607277,26736589.31677068,0.9559810847768653,199624763.52947903,7.137690440849635,30761316.949375004,1.09988737897779,3044079.047855274,0.10884267831760598,33805395.99723028,1.208730057295396,5.620311201150347,8.78314554137749,5.905115371103316
2023-08-31,178222466.60807288,6.347626287382075,26482916.062782742,0.9432236988186662,204705382.6708556,7.29084998620074,31305143.00375,1.114973619447468,3041807.5097771706,0.1083379535571032,34346950.51352717,1.2233115730045712,5.693073070668415,8.70630898821167,5.9599288906371655
2023-09-30,176979499.69109374,6.278811844658732,26229432.10363464,0.9305578852829189,203208931.7947284,7.209369729941652,31201703.171875,1.1069622402088506,3041807.5097771706,0.10791609793731331,34243510.68165217,1.2148783381461639,5.672110227964153,8.622975654878337,5.934231851514239
2023-10-31,175587228.9684375,6.205160749858366,26222844.20095528,0.926701586108337,201810073.16939276,7.131862335966703,30278674.555000003,1.07003250754754,3089984.4061361244,0.1091984312713134,33368658.96113613,1.1792309388188535,5.7990394741186675,8.486400173697211,6.047892826752111
2023-11-30,178466515.45656252,6.282797012785722,25965345.500443935,0.914093014752923,204431860.95700645,7.196890027538645,29102411.713749997,1.0245313800868812,3089984.4061361244,0.10878088108999738,32192396.119886123,1.1333122611768784,6.13236171668352,8.403066840363877,6.350315155035115
2023-12-31,176427368.29239586,6.187260667309218,25707846.799932595,0.9015673185286057,202135215.09232846,7.088827985837824,27654414.808124997,0.9698329384825956,3089984.4061361244,0.10836492752643352,30744399.214261122,1.078197866009029,6.379718013073293,8.319733507030545,6.5747004416520145
